YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,WHEELS_OFF,SCHEDULED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,SCHEDULED_ARRIVAL,ARRIVAL_TIME,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,0005,2354,0015,205,169,1448,0404,0430,0408,0,0,,,,,,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,0010,0002,0014,280,263,2330,0737,0750,0741,0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,0020,0018,0034,286,266,2296,0800,0806,0811,0,0,,,,,,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,0020,0015,0030,285,258,2342,0748,0805,0756,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,0025,0024,0035,235,199,1448,0254,0320,0259,0,0,,,,,,
2015,1,1,4,DL,806,N3730B,SFO,MSP,0025,0020,0038,217,206,1589,0604,0602,0610,0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,0025,0019,0030,181,154,1299,0504,0526,0509,0,0,,,,,,
2015,1,1,4,US,2013,N584UW,LAX,CLT,0030,0044,0057,273,228,2125,0745,0803,0753,0,0,,,,,,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,0030,0019,0036,195,173,1464,0529,0545,0532,0,0,,,,,,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,0030,0033,0045,221,186,1747,0651,0711,0656,0,0,,,,,,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,0030,0024,0036,173,133,1199,0449,0523,0453,0,0,,,,,,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,0035,0027,0048,268,238,2174,0746,0803,0753,0,0,,,,,,
2015,1,1,4,DL,1434,N547US,LAX,MSP,0035,0035,0053,214,188,1535,0601,0609,0605,0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,0040,0034,0052,215,176,1590,0548,0615,0553,0,0,,,,,,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,0040,0039,0107,189,166,1399,0553,0549,0557,0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,0045,0041,0058,204,173,1448,0451,0509,0455,0,0,,,,,,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,0045,0031,0056,210,171,1448,0447,0515,0451,0,0,,,,,,
2015,1,1,4,UA,1197,N78448,SFO,IAH,0048,0042,0053,218,199,1635,0612,0626,0619,0,0,,,,,,
2015,1,1,4,AS,122,N413AS,ANC,PDX,0050,0046,0057,215,187,1542,0504,0525,0507,0,0,,,,,,
2015,1,1,4,DL,1670,N806DN,PDX,MSP,0050,0045,0054,193,171,1426,0545,0603,0551,0,0,,,,,,
2015,1,1,4,NK,520,N525NK,LAS,MCI,0055,0120,0131,162,128,1139,0539,0537,0543,0,0,,,,,,
2015,1,1,4,AA,371,N3GXAA,SEA,MIA,0100,0052,0122,338,311,2724,0933,0938,0939,0,0,,,,,,
2015,1,1,4,NK,214,N632NK,LAS,DFW,0103,0102,0115,147,128,1055,0523,0530,0529,0,0,,,,,,
2015,1,1,4,AA,115,N3CTAA,LAX,MIA,0105,0103,0117,286,255,2342,0832,0851,0839,0,0,,,,,,
2015,1,1,4,DL,1450,N671DN,LAS,MSP,0105,0102,0113,183,150,1299,0543,0608,0545,0,0,,,,,,
2015,1,1,4,UA,1545,N76517,LAX,IAH,0115,0112,0123,183,156,1379,0559,0618,0607,0,0,,,,,,
2015,1,1,4,AS,130,N457AS,FAI,SEA,0115,0107,0132,213,186,1533,0538,0548,0545,0,0,,,,,,
2015,1,1,4,NK,597,N528NK,MSP,FLL,0115,0127,0141,207,166,1487,0527,0542,0607,0,0,,25,0,0,0,0
2015,1,1,4,US,413,N571UW,LAS,CLT,0120,0110,0122,245,205,1916,0747,0825,0754,0,0,,,,,,
2015,1,1,4,AA,2392,N3HRAA,DEN,MIA,0120,0141,0153,227,188,1709,0701,0707,0709,0,0,,,,,,
2015,1,1,4,NK,168,N629NK,PHX,ORD,0125,0237,0246,204,156,1440,0622,0549,0632,0,0,,43,0,0,0,0
2015,1,1,4,AA,2211,N3CGAA,PHX,MIA,0127,0116,0126,239,217,1972,0703,0726,0710,0,0,,,,,,
2015,1,1,4,AS,136,N431AS,ANC,SEA,0135,,,205,,1448,,0600,,0,1,A,,,,,
2015,1,1,4,DL,95,N320US,SLC,ATL,0140,0134,0217,215,182,1590,0719,0715,0725,0,0,,,,,,
2015,1,1,4,NK,298,N514NK,LAS,IAH,0144,0140,0150,170,148,1222,0618,0634,0630,0,0,,,,,,
2015,1,1,4,HA,17,N389HA,LAS,HNL,0145,0145,0201,370,361,2762,0602,0555,0610,0,0,,0,0,15,0,0
2015,1,1,4,US,617,N804AW,ANC,PHX,0152,0143,0204,323,298,2552,0902,0915,0905,0,0,,,,,,
2015,1,1,4,UA,1528,N76519,SJU,EWR,0154,0157,0209,255,220,1608,0449,0509,0458,0,0,,,,,,
2015,1,1,4,AS,134,N464AS,ANC,SEA,0155,0140,0157,218,170,1448,0547,0633,0558,0,0,,,,,,
2015,1,1,4,B6,304,N607JB,SJU,JFK,0155,0153,0205,235,231,1598,0456,0450,0501,0,0,,,,,,
2015,1,1,4,NK,451,N633NK,PBG,FLL,0155,0139,0149,208,174,1334,0443,0523,0450,0,0,,,,,,
2015,1,1,4,NK,972,N606NK,PHX,DFW,0159,0158,0209,123,103,868,0452,0502,0503,0,0,,,,,,
2015,1,1,4,AA,2459,N3BDAA,PHX,DFW,0200,,,120,,868,,0500,,0,1,B,,,,,
2015,1,1,4,AS,144,N514AS,ANC,PDX,0200,0150,0214,210,182,1542,0616,0630,0619,0,0,,,,,,
2015,1,1,4,NK,647,N630NK,IAG,FLL,0200,0155,0216,184,149,1176,0445,0504,0453,0,0,,,,,,
2015,1,1,4,B6,1990,N597JB,SJU,EWR,0206,0152,0211,246,239,1608,0510,0512,0516,0,0,,,,,,
2015,1,1,4,US,699,N172US,PHX,CLT,0220,0209,0219,224,183,1773,0722,0804,0728,0,0,,,,,,
2015,1,1,4,AS,114,N303AS,ANC,SEA,0220,0209,0224,200,176,1448,0620,0640,0628,0,0,,,,,,
2015,1,1,4,B6,668,N653JB,PSE,MCO,0255,0248,0258,185,169,1179,0447,0500,0451,0,0,,,,,,
2015,1,1,4,UA,1162,N37293,BQN,EWR,0259,0258,0312,240,225,1585,0557,0559,0605,0,0,,,,,,
2015,1,1,4,B6,1030,N239JB,BQN,MCO,0307,0304,0329,173,160,1129,0509,0500,0520,0,0,,20,0,0,0,0
2015,1,1,4,B6,262,N627JB,SJU,BOS,0330,0316,0330,245,224,1674,0614,0635,0619,0,0,,,,,,
2015,1,1,4,B6,2134,N307JB,SJU,MCO,0400,0535,0544,185,163,1189,0727,0605,0730,0,0,,0,0,85,0,0
2015,1,1,4,B6,730,N621JB,BQN,MCO,0419,0423,0434,174,148,1129,0602,0613,0606,0,0,,,,,,
2015,1,1,4,B6,768,N317JB,PSE,MCO,0424,0413,0437,186,166,1179,0623,0630,0629,0,0,,,,,,
2015,1,1,4,B6,2276,N646JB,SJU,BDL,0438,0550,0605,241,237,1666,0902,0739,0908,0,0,,17,0,72,0,0
2015,1,1,4,US,602,N197UW,ORD,PHX,0500,0459,0511,228,214,1440,0745,0748,0751,0,0,,,,,,
2015,1,1,4,AS,695,N607AS,GEG,SEA,0500,0456,0518,70,39,224,0557,0610,0610,0,0,,,,,,
